objectid,cdmid,Title,Description,Historical note,Date,creator,Place,latitude,longitude,Publisher,Collection name,Accession number,subject,Owning Institution,identifier,Digital Collection,type,format,Media Type,Copyright 1,Copyright 2,Reference URL,CONTENTdm file name,CONTENTdm file path
rose000,26,Vanderbilt University Waltz,"Cover has inset photograph of Mabel Lee McFerrin, the song's author, in upper left-hand corner beside title. Inset photograph of the Vanderbilt University Glee and Banjo and Mandolin Clubs is positioned in lower center. Top of cover reads: ""Dedicated to Vanderbilt University Glee and Banjo and Mandolin Clubs. The majority of the cover has decorative borders with drawings of a tambourine, mandolin, banjo and trumpet.",,1898,,Nashville (Tenn.),46.47935,-116.25514,"French, H. A.",Kenneth D. Rose Sheet Music Collection,2005-084,Students; Universities & colleges; Sheet music covers; Lyricists; Musicians; Musical instruments,Tennessee State Library and Archives,33060,Rose Music Collection,Still Image,Image/jpeg,Sheet music,No copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm15138.contentdm.oclc.org/cdm/ref/collection/rosemusic/id/26,27.jp2,/rosemusic/image/27.jp2
rose001,27,The Swedish melodies as sung by Madlle. Jenny Lind,"Oval lithograph with border of Jenny Lind (1820-1887), seated with hands folded, wearing formal dress and flowers in her hair. ""Written and composed by A.F. Lindblad. ""Rendered into English from the Swedish by J. Wrey Mould."" Lithograph by Sarony & Co. Jenny Lind autograph facsimile at lower right.","Jenny Lind, known as the ""Swedish Nightingale,"" was a popular singer in Europe and America in the mid-nineteenth century. She performed in Nashville in 1851.",,"Lindblad, Adolf Fredrik, 1801-1878",New York (N.Y.),45.128427,-115.322963,"Vanderbeek, William",Kenneth D. Rose Sheet Music Collection,2005-084,Sheet music covers; Clothing & dress; Women; Singers,Tennessee State Library and Archives,32960,Rose Music Collection,Still Image,Image/jpeg,Sheet music,No copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm15138.contentdm.oclc.org/cdm/ref/collection/rosemusic/id/27,28.jp2,/rosemusic/image/28.jp2
rose002,28,The washing day: a proper new ballad for wet weather,"Drawing of an angry-looking man in dressing gown and cap, with glasses perched on his forehead. He appears in the clouds above a clothesline holding laundry. On the ground are baskets, pails, an iron, and scrubbing brushes.",Song lyrics lament the writer's wife's poor temperament on washing days. A good example of the genre of comic songs popular in the late nineteenth century. Author anonymous; song lyrics thought to have been written between 1817 and 1819.,1830,,Philadelphia (Pa.),47.650864,-116.08913,"Fiot, A. (Augustus)",Kenneth D. Rose Sheet Music Collection,2005-084,Sheet music covers; Fictitious characters; Laundry; Weather; Clotheslines,Tennessee State Library and Archives,32958,Rose Music Collection,Still Image,Image/jpeg,Sheet music,No copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm15138.contentdm.oclc.org/cdm/ref/collection/rosemusic/id/28,29.jp2,/rosemusic/image/29.jp2
rose003,53,A sailor's grave by the sea,"Blue-toned print of a dog lying on a grave at the seashore with a wrecked vessel in the shallow water just offshore. Under print: ""Words and Music by Paul Dresser."" Cover artist unknown.","The composer, Paul Dresser, dedicated this song to his sister, Mary. The song tells of a dog who wouldn't leave his master's grave and was found dead there.",1897,"Dresser, Paul, 1858-1906",New York (N.Y.),43.53814,-116.808364,Howley Haviland & Co.,Kenneth D. Rose Sheet Music Collection,2005-084,Sheet music covers; Dogs; Beaches; Graves; Shipwrecks,Tennessee State Library and Archives,32959,Rose Music Collection,Still Image,Image/jpeg,Sheet music,No copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm15138.contentdm.oclc.org/cdm/ref/collection/rosemusic/id/53,54.jp2,/rosemusic/image/54.jp2
rose004,54,When it's night time down in Dixieland,"Cover shows a nighttime scene of a group of African Americans singing, dancing, and playing the violin and banjo. Inset photograph at lower right of song performers Val Harris and Jack Manion.",Words and music by Irving Berlin.,1914,"Berlin, Irving, 1888-1989",New York (N.Y.),45.527864,-116.302951,"Waterson, Berlin & Snyder Co.",Kenneth D. Rose Sheet Music Collection,2005-084,Sheet music covers; Log cabins; Freedmen; Musical instruments; Entertainers; African Americans,Tennessee State Library and Archives,32968,Rose Music Collection,Still Image,Image/jpeg,Sheet music,No copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm15138.contentdm.oclc.org/cdm/ref/collection/rosemusic/id/54,55.jp2,/rosemusic/image/55.jp2
rose005,55,Defend your country,"Color lithograph of Uncle Sam pulling up his shirt sleeves and published ""in the interest of National Defense."" Uncle Sam stands in front of an unfurled American flag and is ready for a fight. Stamped in bottom right corner: ""Strobel's Music Shop / 29 Arcade / Nashville, Tenn.","On inside cover: ""This patriotic song was inspired by the famous United States Army poster, ""Defend Your Country,"" painted by Major Tom B. Woodburn, U.S.A., noted artist, who collaborated on this song with the well known composers, John W. Bratton and; Leo Edwards.",1940,,New York (N.Y.),44.761292,-114.810301,Paull-Pioneer Music Corp.,Kenneth D. Rose Sheet Music Collection,2005-084,Symbols; Flags,Tennessee State Library and Archives,32961,Rose Music Collection,Still Image,Image/jpeg,Sheet music,No copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm15138.contentdm.oclc.org/cdm/ref/collection/rosemusic/id/55,56.jp2,/rosemusic/image/56.jp2
rose006,56,The Crow quadrilles,"The antebellum character Jim Crow is surrounded by seven demeaning caricatures of African Americans: one wearing fancy uniform and carrying sword; hunting with rifle; fight over a woman; man on boat looking at alligator; man dressed in formal attire; man; with eyeglasses; and man with banjo trying to catch raccoon sitting on a fence. Crescent moon in sky. Written in pencil on front lower right: ""35 cts_.","Jim Crow was a character in a minstrel show and the term eventually came to mean ""Negro.",1837,,Cincinnati (Ohio),46.088404,-115.518644,"Peters, Field & Co.",Kenneth D. Rose Sheet Music Collection,2005-084,Sheet music covers; Caricatures; African Americans; Ethnic stereotypes,Tennessee State Library and Archives,32962,Rose Music Collection,Still Image,Image/jpeg,Sheet music,No copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm15138.contentdm.oclc.org/cdm/ref/collection/rosemusic/id/56,57.jp2,/rosemusic/image/57.jp2
rose007,57,The red stockings,"Black and white lithograph shows baseball scene with focus on pitcher wearing the Cincinnati Red Stockings uniform and mutton chop sideburns. Circling the pitcher are portraits of nine named players in ovate frames. At head of title: ""To the; Ladies of Cincinnati.","The ""Reds"" toured the country in 1869, the year of this publication. The club is considered the first professional team in baseball, and the club's record was 57-0. This is the oldest known piece of baseball sheet music.",1869,,New York (N.Y.),45.066779,-114.555243,"Peters, J. L. (John L.)",Kenneth D. Rose Sheet Music Collection,2005-084,Sheet music covers; Baseball players,Tennessee State Library and Archives,32963,Rose Music Collection,Still Image,Image/jpeg,Sheet music,No copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm15138.contentdm.oclc.org/cdm/ref/collection/rosemusic/id/57,58.jp2,/rosemusic/image/58.jp2
rose008,58,Here's your mule,"Cover features full side view of saddled mule. Beyond the mule are army camp tents. ""Here's Your Mule"" written in arc across cover. ""Comic Camp Song and Chorus by C.D. Benson.","Heard frequently in Civil War army camps, the title came from a farmer whose mules had been commandeered by John Hunt Morgan, a Confederate cavalryman known for his daring raids.",1862,,Nashville (Tenn.),46.492008,-114.363683,"Benson, C. D.",Kenneth D. Rose Sheet Music Collection,2005-084,Mules; Saddles; Sheet music covers,Tennessee State Library and Archives,32964,Rose Music Collection,Still Image,Image/jpeg,Sheet music,No copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm15138.contentdm.oclc.org/cdm/ref/collection/rosemusic/id/58,59.jp2,/rosemusic/image/59.jp2
rose009,59,Casey Jones the brave engineer,"Cover shows a drawing of locomotive number 5, with photographs of two men (presumably the songwriters) in railroad gear inserted in what appear to be engine windows. ""Words by T. Lawrence Seibert, music by Eddie Newton. ""The only comedy railroad song.",,1909,"Newton, Eddie",Los Angeles (Calif.),42.520124,-113.831947,Southern California Music Co.,Kenneth D. Rose Sheet Music Collection,2005-084,Sheet music covers; Railroad locomotives; Railroad employees; Railroad accidents,Tennessee State Library and Archives,32965,Rose Music Collection,Still Image,Image/jpeg,Sheet music,No copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm15138.contentdm.oclc.org/cdm/ref/collection/rosemusic/id/59,60.jpg,/rosemusic/image/60.jpg
